aalib                          @1.4rc5         graphics/aalib
p5.12-term-readline-gnu        @1.200.0        perl/p5-term-readline-gnu
p5.12-test-deep                @0.108.0        perl/p5-test-deep
p5.12-test-exception           @0.310.0        perl/p5-test-exception
p5.12-test-mockobject          @1.90.0         perl/p5-test-mockobject
p5.12-test-nowarnings          @1.20.0         perl/p5-test-nowarnings
p5.12-test-simple              @0.980.0        perl/p5-test-simple
p5.12-test-tester              @0.107.0        perl/p5-test-tester
p5.12-test-warn                @0.220.0        perl/p5-test-warn
p5.12-text-balanced            @2.20.0         perl/p5-text-balanced
p5.12-text-iconv               @1.400.0        perl/p5-text-iconv
p5.12-text-pdf                 @0.290.0        perl/p5-text-pdf
p5.12-text-simpletable         @2.30.0         perl/p5-text-simpletable
p5.12-timedate                 @1.200.0        perl/p5-timedate
p5.12-tree-dag_node            @1.60.0         perl/p5-tree-dag_node
p5.12-try-tiny                 @0.90.0         perl/p5-try-tiny
p5.12-universal-can            @1.160.0        perl/p5-universal-can
p5.12-universal-isa            @1.30.0         perl/p5-universal-isa
p5.12-uri                      @1.590.0        perl/p5-uri
p5.12-version                  @0.990.0        perl/p5-version
p5.12-www-mechanize            @1.660.0        perl/p5-www-mechanize
p5.12-www-robotrules           @6.10.0         perl/p5-www-robotrules
p5.12-xml-namespacesupport     @1.110.0        perl/p5-xml-namespacesupport
p5.12-xml-parser               @2.400.0        perl/p5-xml-parser
p5.12-xml-sax                  @0.990.0        perl/p5-xml-sax
p5.12-xml-sax-base             @1.80.0         perl/p5-xml-sax-base
p5.12-xml-sax-expat            @0.400.0        perl/p5-xml-sax-expat
p5.12-xml-simple               @2.180.0        perl/p5-xml-simple
p5.12-xml-xpath                @1.130.0        perl/p5-xml-xpath
p5.12-yaml                     @0.730.0        perl/p5-yaml
p5.12-yaml-syck                @1.200.0        perl/p5-yaml-syck
p5.12-yaml-tiny                @1.510.0        perl/p5-yaml-tiny
p7zip                          @9.20.1         archivers/p7zip
pamtester                      @0.1.2          devel/pamtester
pango                          @1.30.1         x11/pango
pangomm                        @2.28.4         x11/pangomm
parallel                       @20120622       sysutils/parallel
pcre                           @8.30           devel/pcre
pcrexx                         @0.9.5          devel/pcrexx
pdfjam                         @2.08           textproc/pdfjam
pdflib                         @7.0.5          print/pdflib
perl5                          @5.12.4         lang/perl5
perl5.8                        @5.8.9          lang/perl5.8
perl5.12                       @5.12.4         lang/perl5.12
perl5.14                       @5.14.2         lang/perl5.14
pgf                            @2.10           tex/pgf
php5                           @5.3.15         lang/php5
php5-apc                       @3.1.9          php/php5-apc
php5-calendar                  @5.3.15         php/php5-calendar
php5-curl                      @5.3.15         php/php5-curl
php5-dba                       @5.3.15         php/php5-dba
php5-exif                      @5.3.15         php/php5-exif
php5-ftp                       @5.3.15         php/php5-ftp
php5-gd                        @5.3.15         php/php5-gd
php5-gettext                   @5.3.15         php/php5-gettext
php5-gmp                       @5.3.15         php/php5-gmp
php5-iconv                     @5.3.15         php/php5-iconv
php5-imap                      @5.3.15         php/php5-imap
php5-mbstring                  @5.3.15         php/php5-mbstring
php5-mcrypt                    @5.3.15         php/php5-mcrypt
php5-memcache                  @2.2.6          php/php5-memcache
php5-mssql                     @5.3.15         php/php5-mssql
php5-mysql                     @5.3.15         php/php5-mysql
php5-odbc                      @5.3.15         php/php5-odbc
php5-openssl                   @5.3.15         php/php5-openssl
php5-pcntl                     @5.3.15         php/php5-pcntl
php5-posix                     @5.3.15         php/php5-posix
php5-postgresql                @5.3.15         php/php5-postgresql
php5-soap                      @5.3.15         php/php5-soap
php5-sockets                   @5.3.15         php/php5-sockets
php5-spidermonkey              @0.1.4          php/php5-spidermonkey
php5-SPL_Types                 @0.4.0          php/php5-SPL_Types
php5-sqlite                    @5.3.15         php/php5-sqlite
php5-tidy                      @5.3.15         php/php5-tidy
php5-wddx                      @5.3.15         php/php5-wddx
php5-xmlrpc                    @5.3.15         php/php5-xmlrpc
php5-xsl                       @5.3.15         php/php5-xsl
php5-zip                       @5.3.15         php/php5-zip
pipebench                      @0.40           benchmarks/pipebench
pkgconfig                      @0.27           devel/pkgconfig
pkgconfig                      @0.27           devel/pkgconfig
policykit                      @0.103          security/policykit
poppler                        @0.20.2         graphics/poppler
poppler-data                   @0.4.5          graphics/poppler-data
popt                           @1.16           devel/popt
portaudio                      @19.20111121    audio/portaudio
postgresql91                   @9.1.4          databases/postgresql91
postgresql_select              @0.1            databases/postgresql_select
ppl                            @1.0            devel/ppl
proctools                      @0.4pre1        sysutils/proctools
prolog-mode.el                 @1.22           lang/prolog-mode.el
protobuf-cpp                   @2.4.1          devel/protobuf-cpp
protobuf-java                  @2.4.1          devel/protobuf-java
protobuf-python                @2.3.0          devel/protobuf-python
protobuf-python27              @2.4.1          devel/protobuf-python27
pstree                         @2.33           sysutils/pstree
psutils                        @p17            print/psutils
pth                            @2.0.7          devel/pth
pv                             @1.3.4          sysutils/pv
py-beautifulsoup               @3.2.1          python/py-beautifulsoup
py-cairo                       @1.4.12         python/py-cairo
py-construct                   @2.00           python/py-construct
py-ctypes                      @1.0.2          python/py-ctypes
py-exif                        @1.0.2          python/py-exif
py-gmpy                        @1.15           python/py-gmpy
py-gnupg                       @0.3.0          python/py-gnupg
py-gobject                     @2.18.0         python/py-gobject
py-gtk2                        @2.12.1         python/py-gtk2
py-gtkmvc                      @0.9.2          python/py-gtkmvc
py-jabber                      @0.5-0          python/py-jabber
py-kqueue                      @2.0.1          python/py-kqueue
py-lepl                        @5.1.3          python/py-lepl
py-libxml2                     @2.7.8          python/py-libxml2
py-numpy                       @1.6.2          python/py-numpy
py-openssl                     @0.9            python/py-openssl
py-pexpect                     @2.4            python/py-pexpect
py-pipedream                   @0.2.0          python/py-pipedream
py-pycluster                   @1.50           python/py-pycluster
py-pylibmc                     @1.2.3          python/py-pylibmc
py24-crypto                    @2.6            python/py-crypto
py24-crypto                    @2.6            python/py-crypto
py24-distribute                @0.6.28         python/py-distribute
py24-irclib                    @0.4.8          python/py-irclib
py24-nose                      @1.1.2          python/py-nose
py24-numpy                     @1.6.2          python/py-numpy
py24-pexpect                   @2.4            python/py-pexpect
py24-pylibpcap                 @0.6.4          python/py-pylibpcap
py24-readline                  @6.2.2          python/py-readline
py25-crypto                    @2.6            python/py-crypto
py25-crypto                    @2.6            python/py-crypto
py25-distribute                @0.6.28         python/py-distribute
py25-gnuplot                   @1.8            python/py-gnuplot
py25-libdnet                   @1.12           python/py25-libdnet
py25-nose                      @1.1.2          python/py-nose
py25-numpy                     @1.6.2          python/py-numpy
py25-pylibpcap                 @0.6.4          python/py-pylibpcap
py25-pyx                       @0.11.1         python/py-pyx
py25-readline                  @6.2.2          python/py-readline
py26-babel                     @0.9.6          python/py26-babel
py26-crypto                    @2.6            python/py-crypto
py26-crypto                    @2.6            python/py-crypto
py26-distribute                @0.6.28         python/py-distribute
py26-genshi                    @0.6            python/py-genshi
py26-gnuplot                   @1.8            python/py-gnuplot
py26-iniparse                  @0.3.1          python/py-iniparse
py26-libdnet                   @1.12           python/py26-libdnet
py26-nose                      @1.1.2          python/py-nose
py26-numpy                     @1.6.2          python/py-numpy
py26-pygments                  @1.4            python/py-pygments
py26-pylibpcap                 @0.6.4          python/py-pylibpcap
py26-pyx                       @0.11.1         python/py-pyx
py26-scapy                     @2.1.0          net/py26-scapy
py26-sip                       @4.13.2         python/py-sip
py26-sqlite                    @2.6.3          python/py26-sqlite
py26-tz                        @2012c          python/py-tz
py27-altgraph                  @0.9            python/py-altgraph
py27-bdist_mpkg                @0.4.4          python/py-bdist_mpkg
py27-boto                      @2.2.2          python/py-boto
py27-cairo                     @1.8.10         python/py27-cairo
py27-configobj                 @4.6.0          python/py27-configobj
py27-crypto                    @2.6            python/py-crypto
py27-crypto                    @2.6            python/py-crypto
py27-curl                      @7.19.0         python/py27-curl
py27-dateutil                  @1.5            python/py-dateutil
py27-distribute                @0.6.28         python/py-distribute
py27-docutils                  @0.9.1          python/py-docutils
py27-docutils                  @0.9.1          python/py-docutils
py27-game                      @1.9.1          python/py-game
py27-gevent                    @0.13.7         python/py-gevent
py27-gmpy                      @1.15           python/py-gmpy
py27-gnupg                     @0.3.0          python/py-gnupg
py27-gobject                   @2.26.0         python/py27-gobject
py27-greenlet                  @0.3.4          python/py-greenlet
py27-gtk                       @2.22.0         python/py27-gtk
py27-imread                    @0.2.4          python/py-imread
py27-imread                    @0.2.4          python/py-imread
py27-lepl                      @5.1.3          python/py-lepl
py27-lepl                      @5.1.3          python/py-lepl
py27-libdnet                   @1.12           python/py27-libdnet
py27-libxml2                   @2.7.8          python/py27-libxml2
py27-macholib                  @1.4.3          python/py-macholib
py27-matplotlib                @1.1.0          python/py-matplotlib
py27-modulegraph               @0.9.1          python/py-modulegraph
py27-mysql                     @1.2.3          python/py-mysql
py27-nltk                      @2.0.1rc1       python/py27-nltk
py27-nose                      @1.1.2          python/py-nose
py27-numpy                     @1.6.2          python/py-numpy
py27-opengl                    @3.0.1          python/py-opengl
py27-opengl-accelerate         @3.0.1          python/py-opengl-accelerate
py27-paramiko                  @1.7.7.1        python/py-paramiko
py27-pil                       @1.1.7          python/py-pil
py27-ply                       @3.4            python/py-ply
py27-pp                        @1.6.2          python/py-pp
py27-pp                        @1.6.2          python/py-pp
py27-psyco                     @dev            python/py27-psyco
py27-py                        @1.1.1          python/py27-py
py27-pygccxml-devel            @20120123       python/py-pygccxml-devel
py27-pygments                  @1.4            python/py-pygments
py27-pylibmc                   @1.2.3          python/py-pylibmc
py27-pymacs                    @0.23           python/py27-pymacs
py27-pyobjc                    @2.3            python/py27-pyobjc
py27-pyobjc-cocoa              @2.3            python/py27-pyobjc-cocoa
py27-pyplusplus-devel          @20120123       python/py-pyplusplus-devel
py27-pyrex                     @0.9.9          python/py27-pyrex
py27-pyside                    @1.1.0          python/py-pyside
py27-pyside-tools              @0.2.13         python/py-pyside-tools
py27-pyusb-devel               @1.0.0-a1       python/py27-pyusb-devel
py27-readline                  @6.2.2          python/py-readline
py27-redis                     @2.4.13         python/py-redis
py27-roman                     @1.4.0          python/py-roman
py27-rope                      @0.9.2          python/py27-rope
py27-scipy                     @0.10.1         python/py-scipy
py27-shiboken                  @1.1.0          python/py-shiboken
py27-tkinter                   @2.7.3          python/py-tkinter
py27-tz                        @2012c          python/py-tz
py27-yaml                      @3.10           python/py-yaml
py27-yaml                      @3.10           python/py-yaml
py27-zmq                       @2.2.0          python/py-zmq
pypy                           @1.9            lang/pypy
python-mode.el                 @1.0            lang/python-mode.el
python24                       @2.4.6          lang/python24
python25                       @2.5.6          lang/python25
python26                       @2.6.8          lang/python26
python27                       @2.7.3          lang/python27
python33                       @3.3.0b1        lang/python33
python_select                  @0.3            sysutils/python_select
qhull                          @2012.1         math/qhull
qt4-mac                        @4.8.2          aqua/qt4-mac
rabbitmq-server                @2.8.4          net/rabbitmq-server
rarian                         @0.8.1          textproc/rarian
rb-cheat                       @1.2.1          ruby/rb-cheat
rb-compass                     @0.10.6         ruby/rb-compass
rb-rubygems                    @1.3.7          ruby/rb-rubygems
rb19-archive-tar-minitar       @0.5.2          ruby/rb19-archive-tar-minitar
rb19-bundler                   @1.0.21         ruby/rb19-bundler
rb19-core_source               @0.1.4          ruby/rb19-core_source
rb19-hpricot                   @0.8.4          ruby/rb19-hpricot
rb19-mustache                  @0.11.2         ruby/rb19-mustache
rb19-rdiscount                 @1.6.5          ruby/rb19-rdiscount
rb19-ronn                      @0.7.3          ruby/rb19-ronn
rb19-rspec                     @1.3.0          ruby/rb19-rspec
rb19-yajl                      @0.7.6          ruby/rb19-yajl
rdesktop                       @1.6.0          net/rdesktop
re2                            @20111209-d49d9934b9aa devel/re2
readline                       @6.2.000        devel/readline
Readown                        @1.0.4          aqua/Readown
redis                          @2.4.10         databases/redis
remind                         @03.01.09       textproc/remind
renameutils                    @0.10.0         sysutils/renameutils
rlwrap                         @0.37           sysutils/rlwrap
rmtrash                        @0.3.3          sysutils/rmtrash
rrdtool                        @1.4.7          net/rrdtool
rsync                          @3.0.8          net/rsync
rtorrent                       @0.9.2          net/rtorrent
ruby                           @1.8.7-p370     lang/ruby
ruby19                         @1.9.3-p194     lang/ruby19
scala2.9                       @2.9.2          lang/scala2.9
scala29                        @2.9.2          lang/scala29
scala_select                   @0.1            sysutils/scala_select
scapy                          @2.2.0          net/scapy
schroedinger                   @1.0.11         multimedia/schroedinger
scons                          @2.0.1          devel/scons
screen                         @4.0.3          sysutils/screen
screen                         @4.0.3          sysutils/screen
serf0                          @0.7.2          www/serf0
serf1                          @1.1.0          www/serf1
serf1                          @1.1.0          www/serf1
servlet23-api                  @1              java/servlet23-api
servlet24-api                  @5.5.28         java/servlet24-api
shakespeare                    @1.2.1          lang/shakespeare
shapelib                       @1.2.10         graphics/shapelib
shared-mime-info               @1.0            devel/shared-mime-info
shmux                          @1.0.2          sysutils/shmux
sic                            @1.1            irc/sic
sipcalc                        @1.1.4          net/sipcalc
sloccount                      @2.26           textproc/sloccount
slurm                          @0.3.3          net/slurm
smlnj                          @110.72         lang/smlnj
smpeg                          @0.4.4          multimedia/smpeg
snappy                         @1.0.4          archivers/snappy
snort                          @2.9.1.2        net/snort
sox                            @14.4.0         audio/sox
speex                          @1.2rc1         audio/speex
spidermonkey                   @1.7.0          lang/spidermonkey
sqlite3                        @3.7.13         databases/sqlite3
squid                          @2.7.STABLE9    net/squid
sshfs                          @2.4            fuse/sshfs
sshfs-gui                      @1.3            fuse/sshfs-gui
sshpass                        @1.04           sysutils/sshpass
sslh                           @1.12           net/sslh
startup-notification           @0.12           gnome/startup-notification
startup-notification           @0.12           gnome/startup-notification
struts                         @1.2.7          java/struts
struts                         @1.2.7          java/struts
stunnel                        @4.47           security/stunnel
subversion                     @1.7.5          devel/subversion
subversion-python26bindings    @1.7.5          devel/subversion-python26bindings
subversion-python27bindings    @1.7.5          devel/subversion-python27bindings
SuiteSparse                    @4.0.0          math/SuiteSparse
SuiteSparse                    @4.0.0          math/SuiteSparse
swi-prolog                     @6.0.2          lang/swi-prolog
swig                           @2.0.7          devel/swig
swig-python                    @2.0.7          devel/swig
szip                           @2.1            archivers/szip
t1lib                          @5.1.2          devel/t1lib
task                           @1.9.4          office/task
tcl                            @8.5.11         lang/tcl
tcp_wrappers                   @20             net/tcp_wrappers
tcpdstat                       @1.0            net/tcpdstat
tcpdump                        @4.2.1          net/tcpdump
tcptrace                       @6.6.7          net/tcptrace
tcptraceroute                  @1.5beta7       net/tcptraceroute
testdisk                       @6.13           sysutils/testdisk
texi2html                      @5.0            textproc/texi2html
texinfo                        @4.13           textproc/texinfo
texlive                        @2012           tex/texlive
texlive-basic                  @26926          tex/texlive-basic
texlive-bin                    @2012           tex/texlive-bin
texlive-bin-extra              @26926          tex/texlive-bin-extra
texlive-common                 @2012           tex/texlive-common
texlive-context                @26873          tex/texlive-context
texlive-documentation-base     @26923          tex/texlive-documentation-base
texlive-documentation-english  @26760          tex/texlive-documentation-english
texlive-fonts-recommended      @26838          tex/texlive-fonts-recommended
texlive-fontutils              @26926          tex/texlive-fontutils
texlive-generic-recommended    @26785          tex/texlive-generic-recommended
texlive-lang-czechslovak       @26926          tex/texlive-lang-czechslovak
texlive-lang-dutch             @25990          tex/texlive-lang-dutch
texlive-lang-english           @25990          tex/texlive-lang-english
texlive-lang-french            @26756          tex/texlive-lang-french
texlive-lang-german            @26867          tex/texlive-lang-german
texlive-lang-italian           @26234          tex/texlive-lang-italian
texlive-lang-polish            @25990          tex/texlive-lang-polish
texlive-lang-portuguese        @25990          tex/texlive-lang-portuguese
texlive-lang-spanish           @25990          tex/texlive-lang-spanish
texlive-latex                  @26725          tex/texlive-latex
texlive-latex-extra            @26807          tex/texlive-latex-extra
texlive-latex-recommended      @26788          tex/texlive-latex-recommended
texlive-luatex                 @26718          tex/texlive-luatex
texlive-math-extra             @26720          tex/texlive-math-extra
texlive-metapost               @26926          tex/texlive-metapost
texlive-pictures               @26791          tex/texlive-pictures
texlive-xetex                  @26926          tex/texlive-xetex
tidy                           @20090325       www/tidy
tiff                           @3.9.5          graphics/tiff
tk                             @8.5.11         x11/tk
tmux                           @1.6            sysutils/tmux
tokyocabinet                   @1.4.47         databases/tokyocabinet
tor                            @0.2.2.35       security/tor
trac                           @0.12.3         devel/trac
tripwire                       @2.4.1.2        security/tripwire
tsocks                         @1.8.4          net/tsocks
tsung                          @1.4.2          erlang/tsung
twolame                        @0.3.13         audio/twolame
udis86                         @1.7            devel/udis86
ufraw                          @0.18           graphics/ufraw
uncrustify                     @0.59           devel/uncrustify
unhash                         @1.1            security/unhash
unison                         @2.40.65        net/unison
unison                         @2.40.65        net/unison
unixODBC                       @2.3.1          databases/unixODBC
unsermake                      @0.4-20070824   devel/unsermake
urlview                        @0.9-19         www/urlview
urw-fonts                      @1.0.7pre44     x11/urw-fonts
valgrind-devel                 @3.8.0-r12627   devel/valgrind-devel
valgrind-devel                 @3.8.0-r12627   devel/valgrind-devel
vantages                       @0.8.8b         net/vantages
vte                            @0.28.2         gnome/vte
vtk5                           @5.10.0         graphics/vtk5
w3m                            @0.5.3          www/w3m
w3m                            @0.5.3          www/w3m
watch                          @3.2.8          sysutils/watch
wavpack                        @4.60.1         audio/wavpack
webkit-gtk                     @1.6.3          www/webkit-gtk
webp                           @0.1.3          graphics/webp
weechat                        @0.3.8          irc/weechat
weechat                        @0.3.8          irc/weechat
wget                           @1.13.4         net/wget
wxWidgets                      @2.8.12         graphics/wxWidgets
wyrd                           @1.4.4          textproc/wyrd
x264                           @20111210       multimedia/x264
xalanj                         @2.7.1          java/xalanj
xauth                          @1.0.7          x11/xauth
xbitmaps                       @1.1.1          x11/xbitmaps
xercesj                        @2.11.0         java/xercesj
Xft2                           @2.3.1          x11/Xft2
Xft2                           @2.3.1          x11/Xft2
xinetd                         @2.3.14         net/xinetd
xjobs                          @20120412       sysutils/xjobs
xmlcatmgr                      @2.2            textproc/xmlcatmgr
xmlto                          @0.0.25         textproc/xmlto
xorg-bigreqsproto              @1.1.2          x11/xorg-bigreqsproto
xorg-compositeproto            @0.4.2          x11/xorg-compositeproto
xorg-damageproto               @1.2.1          x11/xorg-damageproto
xorg-dri2proto                 @2.8            x11/xorg-dri2proto
xorg-fixesproto                @5.0            x11/xorg-fixesproto
xorg-font-util                 @1.3.0          x11/xorg-font-util
xorg-fontsproto                @2.1.2          x11/xorg-fontsproto
xorg-glproto                   @1.4.16         x11/xorg-glproto
xorg-inputproto                @2.2            x11/xorg-inputproto
xorg-kbproto                   @1.0.6          x11/xorg-kbproto
xorg-libfontenc                @1.1.1          x11/xorg-libfontenc
xorg-libice                    @1.0.8          x11/xorg-libice
xorg-libpthread-stubs          @0.3            x11/xorg-libpthread-stubs
xorg-libsm                     @1.2.1          x11/xorg-libsm
xorg-libX11                    @1.5.0          x11/xorg-libX11
xorg-libX11                    @1.5.0          x11/xorg-libX11
xorg-libXau                    @1.0.7          x11/xorg-libXau
xorg-libXaw                    @1.0.11         x11/xorg-libXaw
xorg-libXaw                    @1.0.11         x11/xorg-libXaw
xorg-libxcb                    @1.8.1          x11/xorg-libxcb
xorg-libXcomposite             @0.4.3          x11/xorg-libXcomposite
xorg-libXcursor                @1.1.13         x11/xorg-libXcursor
xorg-libXdamage                @1.1.3          x11/xorg-libXdamage
xorg-libXdmcp                  @1.1.1          x11/xorg-libXdmcp
xorg-libXext                   @1.3.1          x11/xorg-libXext
xorg-libXfixes                 @5.0            x11/xorg-libXfixes
xorg-libXfont                  @1.4.5          x11/xorg-libXfont
xorg-libXi                     @1.6.1          x11/xorg-libXi
xorg-libXinerama               @1.1.2          x11/xorg-libXinerama
xorg-libXmu                    @1.1.1          x11/xorg-libXmu
xorg-libXp                     @1.0.1          x11/xorg-libXp
xorg-libXrandr                 @1.3.2          x11/xorg-libXrandr
xorg-libXScrnSaver             @1.2.2          x11/xorg-libXScrnSaver
xorg-libXt                     @1.1.3          x11/xorg-libXt
xorg-libXtst                   @1.2.1          x11/xorg-libXtst
xorg-printproto                @1.0.5          x11/xorg-printproto
xorg-randrproto                @1.4.0          x11/xorg-randrproto
xorg-randrproto                @1.4.0          x11/xorg-randrproto
xorg-recordproto               @1.14.2         x11/xorg-recordproto
xorg-renderproto               @0.11.1         x11/xorg-renderproto
xorg-scrnsaverproto            @1.2.2          x11/xorg-scrnsaverproto
xorg-util-macros               @1.17           x11/xorg-util-macros
xorg-xcb-proto                 @1.7.1          x11/xorg-xcb-proto
xorg-xcb-util                  @0.3.9          x11/xorg-xcb-util
xorg-xcb-util                  @0.3.9          x11/xorg-xcb-util
xorg-xcmiscproto               @1.2.2          x11/xorg-xcmiscproto
xorg-xextproto                 @7.2.1          x11/xorg-xextproto
xorg-xf86bigfontproto          @1.2.0          x11/xorg-xf86bigfontproto
xorg-xineramaproto             @1.2.1          x11/xorg-xineramaproto
xorg-xproto                    @7.0.23         x11/xorg-xproto
xorg-xtrans                    @1.2.7          x11/xorg-xtrans
xpm                            @3.5.10         x11/xpm
xrender                        @0.9.7          x11/xrender
XviD                           @1.3.2          multimedia/XviD
xz                             @5.0.4          archivers/xz
xz                             @5.0.4          archivers/xz
yajl                           @2.0.4          devel/yajl
yasm                           @1.2.0          lang/yasm
yersinia                       @0.7.1          net/yersinia
youtube-dl                     @2012.02.27     net/youtube-dl
ZendFramework                  @1.11.12        www/ZendFramework
zlib                           @1.2.7          archivers/zlib
zmq                            @2.2.0          sysutils/zmq
zsh                            @4.2.7          shells/zsh
zsh-templates-osx              @2.0.4          sysutils/zsh-templates-osx
