aalib                          @1.4rc5         graphics/aalib
fortune                        @6.2.0-RELEASE  games/fortune
fping                          @2.4b2          net/fping
freetds                        @0.91           databases/freetds
freetype                       @2.4.10         print/freetype
fsharp                         @1.9.4.19       lang/fsharp
ftgl                           @2.1.3-rc5      graphics/ftgl
fuse4x                         @0.9.1          fuse/fuse4x
fuse4x-kext                    @0.9.1          fuse/fuse4x-kext
fusil                          @0.7            security/fusil
gawk                           @4.0.0          lang/gawk
gcc43                          @4.3.6          lang/gcc43
gcc44                          @4.4.7          lang/gcc44
gcc45                          @4.5.4          lang/gcc45
gcc46                          @4.6.3          lang/gcc46
gcc47                          @4.7.1          lang/gcc47
gcc_select                     @0.1            sysutils/gcc_select
gccxml-devel                   @20120517       lang/gccxml-devel
gconf                          @2.28.1         gnome/gconf
gd2                            @2.0.35         graphics/gd2
gdb                            @7.3            devel/gdb
gdbm                           @1.10           databases/gdbm
gdk-pixbuf2                    @2.26.1         graphics/gdk-pixbuf2
geany                          @0.21           devel/geany
gegl                           @0.2.0          graphics/gegl
gegl                           @0.2.0          graphics/gegl
generatorrunner                @0.6.16         devel/generatorrunner
getopt                         @1.1.4          sysutils/getopt
gettext                        @0.18.1.1       devel/gettext
ghc                            @6.10.4         lang/ghc
ghostscript                    @9.05           print/ghostscript
giflib                         @4.2.0          graphics/giflib
gimp                           @2.8.0          graphics/gimp
gimp-app                       @2.8.0          aqua/gimp-app
gimp-help-en                   @2.8.0          graphics/gimp-help-en
gimp-jp2                       @2.2.0          graphics/gimp-jp2
gimp-lqr-plugin                @0.7.1          graphics/gimp-lqr-plugin
gimp2                          @2.8.0          graphics/gimp2
git-core                       @1.7.11.3       devel/git-core
glib-networking                @2.28.7         gnome/glib-networking
glib1                          @1.2.10         devel/glib1
glib2                          @2.32.4         devel/glib2
glib2                          @2.32.4         devel/glib2
glibmm                         @2.32.1         devel/glibmm
glpk                           @4.47           math/glpk
gmake                          @3.82           devel/gmake
gmp                            @5.0.4          devel/gmp
gnome-common                   @2.28.0         gnome/gnome-common
gnome-doc-utils                @0.20.10        gnome/gnome-doc-utils
gnome-icon-theme               @2.30.3         gnome/gnome-icon-theme
gnome-keyring                  @2.30.3         gnome/gnome-keyring
gnome-mime-data                @2.18.0         gnome/gnome-mime-data
gnome-themes                   @2.30.2         gnome/gnome-themes
gnome-vfs                      @2.24.4         gnome/gnome-vfs
gnupg                          @1.4.12         mail/gnupg
gnuplot                        @4.6.0          math/gnuplot
gnuregex                       @0.12           sysutils/gnuregex
gnustep-make                   @2.6.1          gnustep/gnustep-make
gnutls                         @2.12.19        devel/gnutls
go                             @60.3           lang/go
gobject-introspection          @1.32.1         gnome/gobject-introspection
gperf                          @3.0.4          devel/gperf
gpgme                          @1.3.1          devel/gpgme
gradle-devel                   @1.0-rc-2       devel/gradle-devel
grails-devel                   @2.1.0.RC1      devel/grails-devel
GraphicsMagick                 @1.3.16         graphics/GraphicsMagick
graphviz                       @2.28.0         graphics/graphviz
groff                          @1.21           sysutils/groff
groovy                         @2.0.0          java/groovy
gsed                           @4.2.1          textproc/gsed
gsl                            @1.15           math/gsl
gss                            @1.0.2          security/gss
gst-plugins-base               @0.10.36        gnome/gst-plugins-base
gstreamer                      @0.10.36        gnome/gstreamer
gtk-doc                        @1.18           gnome/gtk-doc
gtk-engines2                   @2.20.2         x11/gtk-engines2
gtk-nodoka-engine              @0.7.5          x11/gtk-nodoka-engine
gtk1                           @1.2.10         x11/gtk1
gtk2                           @2.24.10        gnome/gtk2
gtkimageview                   @1.6.4          devel/gtkimageview
gtkmm                          @2.24.2         x11/gtkmm
gtksourceview                  @1.8.5          gnome/gtksourceview
gtksourceview2                 @2.10.5         gnome/gtksourceview2
gts                            @0.7.6          math/gts
guile                          @1.8.7          lang/guile
gutenprint                     @5.2.7          print/gutenprint
gzip                           @1.4            archivers/gzip
hadoop                         @1.0.3          java/hadoop
hamcrest-core                  @1.2            java/hamcrest-core
haproxy                        @1.4.18         net/haproxy
haskell-mode.el                @2.4            lang/haskell-mode.el
hdf5-18                        @1.8.9          science/hdf5-18
help2man                       @1.40.10        textproc/help2man
hicolor-icon-theme             @0.12           gnome/hicolor-icon-theme
hping2                         @rc3            net/hping2
hping3                         @20051105       net/hping3
hs-binary                      @0.5.0.2        devel/hs-binary
hs-citeproc                    @0.3.1          devel/hs-citeproc
hs-digest                      @0.0.0.9        devel/hs-digest
hs-dlist                       @0.5            devel/hs-dlist
hs-ghc-paths                   @0.1.0.6        devel/hs-ghc-paths
hs-haddock                     @2.5.0          devel/hs-haddock
hs-http                        @4000.1.1       devel/hs-HTTP
hs-json                        @0.4.4          devel/hs-json
hs-pandoc-types                @1.8            devel/hs-pandoc-types
hs-platform-HTTP               @4000.0.6       devel/hs-platform-HTTP
hs-platform-zlib               @0.5.0.0        devel/hs-platform-zlib
hs-tagsoup                     @0.12           devel/hs-tagsoup
hs-texmath                     @0.5            devel/hs-texmath
hs-utf8-string                 @0.3.6          devel/hs-utf8-string
hs-xml                         @1.3.7          devel/hs-xml
hs-zlib                        @0.5.2.0        devel/hs-zlib
htop                           @0.8.2.1        sysutils/htop
httperf                        @0.9.0          www/httperf
hugs98                         @plus-Sep2006   lang/hugs98
hunspell                       @1.3.2          textproc/hunspell
hydra                          @5.4            security/hydra
icns-gimp                      @0.1            graphics/icns-gimp
icon-naming-utils              @0.8.90         gnome/icon-naming-utils
icu                            @4.8.1          devel/icu
iftop                          @1.0            net/iftop
ilmbase                        @1.0.2          graphics/ilmbase
ImageMagick                    @6.7.8-3        graphics/ImageMagick
intltool                       @0.50.2         textproc/intltool
irssi                          @0.8.15         irc/irssi
isl                            @0.07           devel/isl
iso-codes                      @3.35           devel/iso-codes
jabber                         @1.4.2          net/jabber
jabberd                        @2.2.9          net/jabberd
jakarta-log4j                  @1.2.16         java/jakarta-log4j
jakarta-oro                    @2.0.8          java/jakarta-oro
jakarta-taglibs-standard-11    @1.1.2          java/jakarta-taglibs-standard-11
jasper                         @1.900.1        graphics/jasper
jbig2dec                       @0.11           graphics/jbig2dec
jbigkit                        @2.0            graphics/jbigkit
jikes                          @1.22           lang/jikes
jline                          @0.9.94         devel/jline
john                           @1.7.6          sysutils/john
jpeg                           @8d             graphics/jpeg
jslint                         @2011-05-10     lang/jslint
junit                          @4.6            java/junit
jython                         @2.5.2          lang/jython
kerberos5                      @1.7.2          net/kerberos5
ksh93                          @2011-02-08     shells/ksh93
lame                           @3.99.5         audio/lame
lame                           @3.99.5         audio/lame
lastfmsubmitd                  @0.35           audio/lastfmsubmitd
latexdiff                      @0.5            tex/latexdiff
latexmk                        @4.31           tex/latexmk
lbdb                           @0.36           mail/lbdb
lcms                           @1.19           graphics/lcms
lcms2                          @2.3            graphics/lcms2
lcov                           @1.9            devel/lcov
ld64                           @128.2          devel/ld64
ldns                           @1.6.13         net/ldns
ldns-tools                     @1.6.10         net/ldns-tools
lensfun                        @0.2.5          graphics/lensfun
less                           @444            textproc/less
lesspipe                       @1.72           textproc/lesspipe
lftp                           @4.3.5          net/lftp
libao                          @1.1.0          audio/libao
libarchive                     @2.8.4          archivers/libarchive
libart_lgpl                    @2.3.21         graphics/libart_lgpl
libassuan                      @2.0.2          devel/libassuan
libbonobo                      @2.32.1         gnome/libbonobo
libbonoboui                    @2.24.5         gnome/libbonoboui
libcroco                       @0.6.3          gnome/libcroco
libcryptopp                    @5.6.1          devel/libcryptopp
libdnet                        @1.12           net/libdnet
libdshconfig                   @0.20.13        net/libdshconfig
libedit                        @20120601-3.0   devel/libedit
libelf                         @0.8.13         devel/libelf
libevent                       @2.0.19         devel/libevent
libevent1                      @1.4.14b        devel/libevent1
libewf                         @20100226       security/libewf
libexif                        @0.6.20         graphics/libexif
libffi                         @3.0.11         devel/libffi
libgcrypt                      @1.5.0          devel/libgcrypt
libgdiplus                     @2.10.9         devel/libgdiplus
libgeoip                       @1.4.8          devel/libgeoip
libglade2                      @2.6.4          gnome/libglade2
libgnome                       @2.30.0         gnome/libgnome
libgnome-keyring               @2.30.1         gnome/libgnome-keyring
